,KOSPI 200 ─▌┐╔╝╟ 1811 277.5,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.38104,5.88,29.52,бу  ,309,43412.38104,5,SS ,451738000,54.69,5719,123,1.34,5.86,5.9,5719,1,1,1,4,8,13,6,45
43390.38105,5.9,29.96,бу  ,310,43412.38105,1,BB ,453213000,55.21,5719,124,1.36,5.87,5.91,5719,1,1,1,1,7,33,7,36
43390.38125,5.96,31.28,бу  ,311,43412.38125,1,B  ,454703000,55.73,5732,125,1.42,5.93,5.96,5732,1,1,1,6,8,45,5,24
43390.38126,5.96,31.28,бу  ,312,43412.38126,1,BB ,456193000,56.25,5732,126,1.42,5.95,5.99,5732,1,2,1,1,6,32,8,31
43390.38128,5.97,31.5,бу  ,313,43412.38128,1,S  ,457685000,55.96,5732,127,1.43,5.95,5.99,5732,2,2,1,1,7,32,7,26
43390.38135,5.98,31.72,бу  ,319,43412.38135,6,SS ,466655000,54.27,5732,128,1.44,5.96,6,5732,2,2,1,1,7,32,7,33
43390.38139,5.92,30.4,бу  ,320,43412.38139,1,SS ,468135000,54,5734,129,1.38,5.91,5.96,5734,2,5,1,2,9,16,5,42
43390.3814,5.94,30.84,бу  ,321,43412.3814,1,BB ,469620000,54.5,5734,130,1.4,5.92,5.95,5734,1,1,1,4,8,17,7,38
43390.38141,5.95,31.06,бу  ,322,43412.38141,1,BB ,471108000,55,5734,131,1.41,5.91,5.96,5734,1,1,1,1,9,37,7,46
43390.38142,5.96,31.28,бу  ,323,43412.38142,1,BB ,472598000,55.5,5734,132,1.42,5.93,5.97,5734,2,2,1,1,9,48,5,22
43390.38145,5.97,31.5,бу  ,324,43412.38145,1,BB ,474090000,56,5734,133,1.43,5.95,6,5734,1,1,1,1,6,42,6,21
43390.38145,6,32.16,бу  ,325,43412.38145,1,BB ,475590000,56.5,5734,134,1.46,5.96,6.01,5734,1,1,1,1,5,41,7,25
43390.38145,6.01,32.38,бу  ,326,43412.38145,1,BB ,477093000,57,5734,135,1.47,5.96,6.03,5734,1,4,1,1,5,52,7,25
43390.38146,6.02,32.6,бу  ,327,43412.38146,1,SS ,478598000,56.72,5734,136,1.48,6.01,6.05,5734,1,4,2,2,5,33,6,23
43390.38147,6.03,32.82,бу  ,328,43412.38147,1,SS ,480105000,56.44,5734,137,1.49,6.02,6.06,5734,1,1,2,2,5,41,6,23
43390.38147,6.03,32.82,бу  ,329,43412.38147,1,SS ,481613000,56.16,5734,138,1.49,6.02,6.06,5734,1,1,1,1,5,41,5,22
43390.38148,6.02,32.6,бу  ,330,43412.38148,1,SS ,483118000,55.88,5734,139,1.48,6.01,6.06,5734,1,1,1,1,5,41,5,33
43390.38153,6.01,32.38,бу  ,331,43412.38153,1,SS ,484620000,55.61,5740,140,1.47,5.97,6.05,5740,1,1,1,4,5,30,5,52
43390.38154,6.05,33.26,бу  ,332,43412.38154,1,B  ,486133000,56.1,5740,141,1.51,5.97,6.05,5740,1,1,1,1,5,30,5,19
43390.38155,6.04,33.04,бу  ,333,43412.38155,1,B  ,487643000,56.59,5740,142,1.5,5.97,6.05,5740,1,1,1,1,6,21,7,43
43390.38155,6.05,33.26,бу  ,336,43412.38155,3,BB ,492180000,58.05,5740,143,1.51,6.05,6.06,5740,1,1,1,6,5,41,7,37
43390.38155,6.05,33.26,бу  ,342,43412.38155,6,BB ,501255000,56.4,5740,144,1.51,6.05,6.06,5740,1,1,1,6,5,41,7,37
43390.38155,6.04,33.04,бу  ,343,43412.38155,1,B  ,502765000,56.87,5740,145,1.5,6.05,6.06,5740,1,1,1,1,5,20,5,41
43390.38155,6.05,33.26,бу  ,345,43412.38155,2,B  ,505790000,57.82,5740,146,1.51,6.05,6.06,5740,1,1,1,1,5,20,5,41
43390.38155,6.06,33.48,бу  ,346,43412.38155,1,BB ,507305000,58.29,5740,147,1.52,6.07,6.09,5740,1,4,1,26,5,52,5,55
43390.38155,6.07,33.7,бу  ,372,43412.38155,26,BB ,546760000,51.9,5740,148,1.53,6.07,6.09,5740,1,4,1,26,5,52,5,55
43390.38156,6.06,33.48,бу  ,373,43412.38156,1,SS ,548275000,51.68,5740,149,1.52,6.05,6.1,5740,1,2,1,2,5,42,6,33
